date,北-常熟（4-5万吨）,北-张家港（2-4万吨）,北-乍浦（2-3万吨）,北-上海闸港（1.6-1.8万吨）,北-广州（6-7万吨）,综合指数
2017/1/3,33.5,23.5,33.5,45.5,26.5,34.5
2017/1/4,34.5,24.5,32.5,45.5,27.5,34.4
2017/1/5,36,26.5,34,45.5,28.5,35.2
2017/1/6,36,28.5,34,45.5,29.5,35.8
2017/1/9,36,29.5,34,44.5,30.5,36
2017/1/10,35.5,29.5,33.5,42.5,30.5,35.6
2017/1/11,34,28.5,32,41.5,30.5,34.6
2017/1/12,34,27.5,32,41.5,31.5,34.2
2017/1/13,33,25,31,41.5,29.5,33
2017/1/16,31,21.5,29,39.5,26.5,30.3
2017/1/17,28,19.5,26,35.5,25.5,27.6
2017/1/18,27,18.5,25,33.5,28.5,26.2
2017/1/19,26,18.5,24,32.5,24,25.5
2017/1/20,25.5,18.5,23.5,31.5,23.5,25.1
2017/1/22,25,18.5,23,30.5,23.5,24.8
2017/1/23,25,18.5,23,30.5,23.5,24.8
2017/1/24,25,18.5,23,30.5,24.5,24.8
2017/1/25,25,18.5,23,30.5,24.5,24.8
2017/2/3,26,22.5,24,30.5,27.5,27
2017/2/4,26,22.5,24,30.5,27.5,27
2017/2/6,26,23,24,30.5,28,27.2
2017/2/7,26,23,24,30.5,28,27.2
2017/2/8,26,23,24,30.5,29,26.9
2017/2/9,26,22.5,24,30.5,30,26.6
2017/2/10,26,22.5,24,30.5,30,26.6
2017/2/13,26,22.5,24,30.5,31,26.6
2017/2/14,26,22.5,24,30.5,31,27
2017/2/15,27.5,22.5,25.5,32.5,31,27.8
2017/2/16,27.5,27.5,25.5,32.5,31,27.8
2017/2/17,27.5,22.5,25.5,32.5,31,27.8
2017/2/20,28,23.5,26,33.5,31,28.7
2017/2/21,32,27.5,30,36.5,33,32.4
2017/2/22,36,32.5,34,38.5,35,36
2017/2/23,38.5,35.5,36.5,40.5,38,38.5
2017/2/24,39.5,37.5,37.5,41.5,39,39.8
2017/2/27,41.5,39.5,39.5,43.5,42,41.8
2017/2/28,43.5,40.5,41.5,44.5,45,43
2017/3/1,44.5,42.5,42.5,45.5,49,44.4
2017/3/2,45.5,44.5,43.5,46.5,49,46
2017/3/3,46.5,45.5,44.5,46.5,52.5,47
2017/3/6,52.5,50.5,50.5,53.5,57.5,53.2
2017/3/7,56.5,54.5,54.5,56.5,60.5,57
2017/3/8,56.5,54.5,54.5,56.5,60.5,57
2017/3/9,52.5,50.5,50.5,52.5,58.5,53
2017/3/10,48.5,45.5,46.5,49.5,57.5,48.6
2017/3/13,46.5,43.5,44.5,48.5,56.5,46.7
2017/3/14,46.5,43.5,49.5,48.5,56.5,46.7
2017/3/15,46.5,43.5,49.5,48.5,56.5,46.7
2017/3/16,47.5,46.5,45.5,48.5,58.5,48.6
2017/3/17,49.5,49.5,47.5,51.5,60.5,51.2
2017/3/20,49.5,48.5,47.5,51.5,60.5,50.7
2017/3/21,49.5,44.5,47.5,51.5,58.5,49.7
2017/3/22,47,41.5,45,49.5,54.5,46
2017/3/23,43,36.5,41,47.5,49.5,42.1
2017/3/24,39.5,31.5,37.5,49.5,44.5,38
