日期,综合指数,北-张家港（2-3万吨）,北方-常熟（4-5万吨）,北方-乍浦（2-3万吨）,北-上海闸港（1.6-1.8万吨）,北方-广州（6-7万吨）
2018/1/2,54.2,57,48.5,54,62.5,56
2018/1/3,54.7,57,50.5,53,62.5,56
2018/1/4,55.9,57,53,54.5,62.5,57
2018/1/5,57.3,58,55,55.5,63.5,59
2018/1/8,60.8,61.5,58.5,60.5,65.5,61.5
2018/1/9,66.6,67.5,64,66.5,70.5,67.5
2018/1/10,67.6,68.5,65,68,70.5,68.5
2018/1/11,67.7,69,64.5,68.5,70.5,68.5
2018/1/12,63.9,65.5,59.5,64.5,69.5,65.5
2018/1/15,59.6,62.5,52.5,60.5,66.5,61
2018/1/16,57.4,60.5,51,58.5,65.5,57.5
2018/1/17,57,59.5,51,58.5,64.5,57.5
2018/1/18,56.9,58.5,52,57.5,63.5,55.5
2018/1/19,56.9,57.5,53,57.5,62.5,55.5
2018/1/22,58,59.5,54,58.5,64.5,55.5
2018/1/23,58.1,59.5,54,58.5,64.5,55.5
2018/1/24,57,58.5,53,57.5,63.5,55.5
2018/1/25,55.2,57.5,49.5,56.5,62.5,53.5
2018/1/26,53.3,55.5,48,54.5,60.5,51.5
2018/1/29,48.2,49.5,44.5,48.5,54.5,47.5
2018/1/30,42.2,43.5,38.5,42.5,48.5,43.5
2018/1/31,36.2,37.5,32.5,36.5,42.5,37.5
2018/2/1,33.1,34.5,29.5,32.5,39.5,34.5
2018/2/2,30.1,32.5,26.5,29.5,36.5,32
2018/2/5,28.1,30,34.5,37.5,34.5,30
2018/2/6,26.1,28,22.5,25.5,32.5,28
2018/2/7,25.1,26.5,21.5,24.5,31.5,27.5
2018/2/8,25.1,26.5,21.5,24.5,31.5,27.5
2018/2/9,25.1,26.5,21.5,24.5,31.5,27.5
2018/2/11,25.1,26.5,21.5,24.5,31.5,27.5
2018/2/12,25.1,26.5,21.5,24.5,31.5,27.5
2018/2/13,26.1,27.5,22.5,25.5,32.5,27.5
2018/2/22,30.2,31.5,27,30.5,35.5,29.5
2018/2/23,30.2,31.5,27,30.5,35.5,29.5
2018/2/24,30.5,31.5,27.5,30.5,35.5,30
2018/2/26,32.4,33.5,29.5,32.5,36.5,32.5
2018/2/27,32.4,33.5,29.5,32.5,36.5,32.5
2018/2/28,31.9,33.5,28.5,32.5,36.5,35
2018/3/1,30.9,32.5,27.5,31.5,35.5,35
2018/3/2,30.9,32.5,27.5,31.5,35.5,35
2018/3/5,30.9,32.5,27.5,31.5,35.5,34
2018/3/6,30.1,31.5,26.5,30.5,35.5,33
2018/3/7,30.1,31.5,26.5,30.5,35.5,33
2018/3/8,29.6,31.5,25.5,29.5,35.5,32
2018/3/9,28.6,30.5,24.5,28.5,34.5,33
2018/3/12,29.8,31.5,26,30.5,35.5,33
2018/3/13,30.8,32.5,26.5,31.5,35.5,34
2018/3/14,33.4,35.5,28.5,34.5,39.5,36
2018/3/15,35.3,37.5,30.5,36.5,40.5,36
2018/3/16,36.1,38.5,31.5,37.5,40.5,36
2018/3/19,37.1,39.5,32.5,38.5,41.5,37
2018/3/20,36.8,39.8,31.5,38.5,41.5,37
2018/3/21,35.7,38.5,30,37.5,40.5,36
2018/3/22,34.8,37.5,29,35.5,38.5,36
2018/3/23,33.9,36.5,29,35.5,38.5,35
2018/3/26,32.8,35.5,27.5,34.5,37.5,33
2018/3/27,32.8,35.5,27.5,34.5,37.5,33
2018/3/28,31.9,34.5,27,34.5,36.5,32
2018/3/29,30.9,33.5,26.5,31.5,35.5,31
2018/3/30,29.9,32.5,25.5,30.5,34.5,30
2018/4/2,29.9,32.5,25.5,30.5,34.5,30
2018/4/3,29.9,32.5,25.5,30.5,34.5,30
2018/4/4,29.9,32.5,25.5,30.5,34.5,30
2018/4/8,29.9,32.5,25.5,30.5,34.5,30
2018/4/9,29.9,32.5,25.5,30.5,34.5,30
2018/4/10,29.8,32.5,25,30.5,34.5,29
2018/4/11,29.8,32.5,25,30.5,34.5,28.5
2018/4/12,29.7,32.5,25,30.5,34.5,28.5
2018/4/13,29.7,32.5,25,30.5,34.5,28.5
2018/4/16,31,33.5,26.5,31.5,35.5,29.5
2018/4/17,,,,,,
2018/4/18,40.7,41.5,40,39.5,43.5,37.5
2018/4/19,39.9,41.5,38,39.5,43.5,35.5
2018/4/20,37.7,39.5,34,37.5,42.5,33.5
2018/4/23,42.1,43.5,40,41.5,46.5,38.5
2018/4/24,42.5,43.5,40.5,41.5,46.5,40.5
2018/4/25,42.75,43.5,41,42.5,46.5,40.5
2018/4/26,41.6,42.5,39,41.5,44.5,39.5
2018/4/27,40.05,41.5,37,40,43.5,37.5
2018/4/28,39.05,40.5,36,39,42.5,37
2018/5/2,39.15,40.5,36.5,39,42.5,37
