date,BDI
2018/12/5,1296
2018/12/4,1237
2018/12/3,1203
2018/11/30,1231
2018/11/29,1281
2018/11/28,1330
2018/11/27,1339
2018/11/26,1217
2018/11/23,1093
2018/11/22,1018
2018/11/21,1008
2018/11/20,1003
2018/11/19,1023
2018/11/16,1031
2018/11/15,1020
2018/11/14,1009
2018/11/13,1064
2018/11/12,1125
2018/11/9,1147
2018/11/8,1231
2018/11/7,1395
2018/11/6,1395
2018/11/5,1428
2018/11/2,1457
2018/11/1,1470
2018/10/31,1490
2018/10/30,1513
2018/10/29,1522
2018/10/26,1519
2018/10/25,1516
2018/10/24,1546
2018/10/23,1577
2018/10/22,1579
2018/10/19,1576
2018/10/18,1565
2018/10/17,1554
2018/10/16,1578
2018/10/15,1584
2018/10/12,1579
2018/10/11,1515
2018/10/10,1493
2018/10/9,1503
2018/10/8,1530
2018/10/5,1536
2018/10/4,1554
2018/10/3,1574
2018/10/2,1570
2018/10/1,1555
2018/9/28,1540
2018/9/27,1524
2018/9/26,1503
2018/9/25,1450
2018/9/24,1434
2018/9/21,1413
2018/9/20,1396
2018/9/19,1373
2018/9/18,1356
2018/9/17,1357
2018/9/14,1366
2018/9/13,1382
2018/9/12,1411
2018/9/11,1439
2018/9/10,1482
2018/9/7,1490
2018/9/6,1484
2018/9/5,1477
2018/9/4,1513
2018/9/3,1557
2018/8/31,1579
2018/8/30,1614
2018/8/29,1661
2018/8/28,1684
2018/8/27,1697
2018/8/24,1697
2018/8/23,1709
2018/8/22,1735
2018/8/21,1727
2018/8/20,1727
2018/8/17,1723
2018/8/16,1720
2018/8/15,1727
2018/8/14,1725
2018/8/13,1709
2018/8/10,1691
2018/8/9,1694
2018/8/8,1704
2018/8/7,1732
2018/8/6,1773
2018/8/3,1773
2018/8/2,1756
2018/8/1,1760
2018/7/31,1747
2018/7/30,1703
2018/7/27,1708
2018/7/26,1772
2018/7/25,1772
2018/7/24,1774
2018/7/23,1718
2018/7/20,1689
2018/7/19,1657
2018/7/18,1688
2018/7/17,1688
2018/7/16,1721
2018/7/13,1666
2018/7/12,1632
2018/7/11,1586
2018/7/10,1555
2018/7/9,1609
2018/7/6,1622
2018/7/5,1612
2018/7/4,1567
2018/7/3,1476
2018/7/2,1422
2018/6/29,1385
2018/6/28,1329
2018/6/26,1323
2018/6/25,1333
2018/6/22,1341
2018/6/20,1373
2018/6/19,1419
2018/6/18,1442
2018/6/15,1445
2018/6/14,1433
2018/6/13,1404
2018/6/12,1390
2018/6/11,1387
2018/6/8,1391
2018/6/7,1395
2018/6/6,1340
2018/6/5,1249
2018/6/4,1193
2018/6/1,1156
2018/5/31,1090
2018/5/30,1042
2018/5/25,1077
2018/5/24,1109
2018/5/23,1162
2018/5/22,1199
2018/5/21,1239
2018/5/18,1273
2018/5/17,1305
2018/5/16,1403
2018/5/15,1468
2018/5/14,1476
2018/5/11,1472
2018/5/10,1453
2018/5/9,1465
2018/5/8,1432
2018/5/4,1384
2018/5/3,1376
2018/5/2,1346
2018/5/1,1327
2018/4/30,1341
2018/4/27,1361
2018/4/26,1375
2018/4/25,1376
2018/4/24,1330
2018/4/23,1306
2018/4/20,1281
2018/4/19,1201
2018/4/18,1124
2018/4/17,1052
2018/4/16,1025
2018/4/13,1014
2018/4/12,993
2018/4/11,979
2018/4/10,974
2018/4/9,952
2018/4/6,948
2018/4/5,953
2018/4/4,977
2018/4/3,1016
2018/3/29,1055
2018/3/28,1080
2018/3/27,1117
2018/3/26,1126
2018/3/23,1122
2018/3/22,1117
2018/3/21,1117
2018/3/20,1122
2018/3/19,1136
2018/3/16,1143
2018/3/15,1150
2018/3/14,1169
2018/3/13,1179
2018/3/9,1201
2018/3/8,1197
2018/3/7,1191
2018/3/6,1212
2018/3/5,1210
2018/3/2,1207
2018/3/1,1196
2018/2/28,1192
2018/2/27,1188
2018/2/26,1191
2018/2/23,1185
2018/2/22,1167
2018/2/21,1146
2018/2/20,1117
2018/2/19,1087
2018/2/16,1084
2018/2/15,1089
2018/2/13,1114
2018/2/12,1123
2018/2/9,1106
2018/2/8,1106
2018/2/7,1097
2018/2/6,1095
2018/2/5,1082
2018/2/2,1095
2018/2/1,1114
2018/1/31,1152
2018/1/30,1191
2018/1/29,1214
2018/1/26,1219
2018/1/25,1217
2018/1/24,1200
2018/1/23,1157
2018/1/22,1129
2018/1/19,1125
2018/1/18,1139
2018/1/17,1164
2018/1/16,1221
2018/1/15,1264
2018/1/12,1279
2018/1/11,1303
2018/1/10,1366
2018/1/9,1395
2018/1/8,1385
2018/1/5,1371
2018/1/4,1341
2018/1/3,1262
2018/1/2,1230
2017/12/22,1366
2017/12/21,1430
2017/12/20,1476
2017/12/19,1547
2017/12/18,1588
2017/12/15,1619
2017/12/14,1668
2017/12/13,1730
2017/12/12,1743
2017/12/11,1727
2017/12/8,1702
2017/12/7,1679
2017/12/6,1670
2017/12/5,1666
2017/12/4,1662
2017/12/1,1626
2017/11/30,1578
