INFO_DTESTR,MONEY
2018-12-05,571
2018-11-28,571
2018-11-21,570
2018-11-14,571
2018-11-07,571
2018-10-31,571
2018-10-24,571
2018-10-17,571
2018-10-10,570
2018-09-26,569
2018-09-19,569
2018-09-12,569
2018-09-05,568
2018-08-29,568
2018-08-22,568
2018-08-15,568
2018-08-08,567
2018-08-01,567
2018-07-25,568
2018-07-18,569
2018-07-11,570
2018-07-04,570
2018-06-27,570
2018-06-20,570
2018-06-13,570
2018-06-06,570
2018-05-30,570
2018-05-23,571
2018-05-16,572
2018-05-09,572
2018-04-25,572
2018-04-18,570
2018-04-11,570
2018-04-04,570
2018-03-28,571
2018-03-21,572
2018-03-14,572
2018-03-07,573
2018-02-28,574
2018-02-14,575
2018-02-07,576
2018-01-31,577
2018-01-24,577
2018-01-17,578
2018-01-10,578
2018-01-03,578
2017-12-27,577
2017-12-20,577
2017-12-13,576
2017-12-06,576
2017-11-29,576
2017-11-22,576
2017-11-15,577
2017-11-08,578
2017-11-01,581
2017-10-25,582
2017-10-18,583
2017-10-11,585
2017-09-27,586
2017-09-20,586
2017-09-13,583
2017-09-06,580
2017-08-30,579
2017-08-23,581
2017-08-16,582
2017-08-09,583
2017-08-02,583
2017-07-26,583
2017-07-19,582
2017-07-12,581
2017-07-05,580
2017-06-28,577
2017-06-21,574
2017-06-14,564
2017-06-07,562
2017-05-24,580
2017-05-17,593
2017-05-10,596
2017-05-03,597
2017-04-26,598
2017-04-19,599
2017-04-12,603
2017-04-06,604
2017-03-29,605
2017-03-22,606
2017-03-15,599
2017-03-08,593
2017-03-01,589
2017-02-22,587
2017-02-15,587
2017-02-08,588
2017-01-25,590
2017-01-18,
2017-01-11,592
2017-01-04,593
2016-12-28,593
2016-12-21,594
2016-12-14,595
2016-12-07,598
2016-11-30,599
2016-11-23,601
2016-11-16,604
2016-11-09,606
2016-11-02,607
2016-10-26,593
2016-10-19,577
2016-10-12,570
2016-09-28,561
2016-09-21,554
2016-09-14,537
2016-09-07,515
2016-08-31,494
2016-08-24,476
2016-08-17,464
2016-08-10,452
2016-08-03,436
2016-07-27,430
2016-07-20,421
2016-07-13,417
2016-07-06,414
2016-06-29,401
2016-06-22,400
2016-06-15,400
2016-06-08,400
2016-06-01,390
2016-05-25,389
2016-05-18,389
2016-05-11,389
2016-05-04,389
2016-04-27,389
2016-04-20,389
2016-04-13,389
2016-04-06,389
2016-03-30,389
2016-03-23,389
2016-03-16,389
2016-03-09,388
2016-03-02,385
2016-02-24,381
2016-02-17,380
2016-02-03,379
2016-01-27,374
2016-01-20,372
2016-01-13,371
2016-01-06,371
2015-12-30,372
2015-12-23,372
2015-12-16,371
2015-12-09,371
2015-12-02,372
2015-11-25,373
2015-11-18,375
2015-11-11,376
2015-11-04,379
2015-10-28,380
2015-10-21,384
2015-10-14,387
2015-09-30,396
2015-09-23,398
2015-09-16,409
2015-09-16,402
2015-09-16,400
2015-08-26,409
2015-08-19,410
2015-08-12,411
2015-08-05,412
2015-07-29,416
2015-07-22,417
2015-07-15,417
2015-07-08,418
2015-07-01,418
2015-06-24,418
2015-06-17,418
2015-06-10,418
2015-06-03,415
2015-05-27,414
2015-05-20,414
2015-05-13,416
2015-05-06,421
2015-04-29,440
2015-04-22,442
2015-04-15,450
2015-04-08,459
2015-04-01,469
2015-03-25,473
2015-03-18,482
2015-03-11,488
2015-03-04,496
2015-02-25,502
2015-02-11,508
2015-02-04,510
2015-01-28,511
2015-01-21,518
2015-01-14,519
2015-01-07,520
2014-12-31,525
2014-12-24,525
2014-12-17,526
2014-12-10,526
2014-12-03,521
2014-11-26,513
2014-11-19,513
2014-11-12,509
2014-11-05,506
